game,release_date,copies_sold,price,revenue,avg_playtime,review_score,publisher_class,publisher,developers,steam_id,total_revenue,revenue_percentage,days_in_market,average_price_per_hour
ExoCross,2024-07-22,8226,39.99,217345.0,5.4,70,Indie,"iRacing.com Motorsport Simulations,iRacing","iRacing.com Motorsport Simulations,iRacing",773840,217345.0,100.0,49,7.41
Angel at Dusk,2024-01-12,20643,14.99,217085.0,10.8,99,Indie,"Henteko Doujin,Sanuk Inc.",Akiragoya,1405500,217085.0,100.0,241,1.39
Sex Formula,2024-09-05,6030,39.99,217025.0,1.4,77,Indie,MIGI STUDIO,MIGI STUDIO,2889660,217025.0,100.0,4,28.56
CaseCracker2,2024-05-16,21864,11.99,216851.0,5.8,95,Indie,NPC Entertainment,BlackRobe,2294450,216851.0,100.0,116,2.07
Coreborn,2024-06-19,14796,13.99,216265.0,30.5,67,Indie,Blankhans,Blankhans,1926090,216265.0,100.0,82,0.46
HEART of CROWN Online,2024-04-23,13112,19.99,215401.0,11.0,81,Indie,Japanime Digital,"illuCalab,FLIPFLOPs",1883000,215401.0,100.0,139,1.82
Stargate: Timekeepers,2024-01-23,7991,29.99,214688.0,5.4,58,AA,Slitherine Ltd.,Slitherine Ltd.,1523650,2916495.0,7.36,230,5.55
Vae Victis - Khan,2024-03-01,16129,14.99,214566.0,10.4,83,Indie,Doorknob22,Doorknob22,2540230,214566.0,100.0,192,1.44
Sucker for Love: Date to Die For,2024-04-23,19772,12.99,213201.0,3.9,0,Indie,DreadXP,Akabaka,2240790,1383461.0,15.41,139,3.33
Tchia,2024-03-21,11684,29.99,212197.0,7.9,0,Indie,Kepler Interactive,Awaceb,1496590,11324934.0,1.87,172,3.8
Love n Life: Lucky Teacher,2024-01-31,38777,8.99,210967.0,4.0,0,Indie,Reborn Entertainment,Reborn Entertainment,2445340,210967.0,100.0,222,2.25
Tour de France 2024,2024-06-06,5833,39.99,208625.0,20.9,72,AA,Nacon,Cyanide Studio,2494340,5496124.0,3.8,95,1.91
Nancy Drew®: Mystery of the Seven Keys™,2024-06-20,7242,32.0,208569.0,7.1,60,Indie,HeR Interactive,HeR Interactive,1926590,208569.0,100.0,81,4.51
Project MIKHAIL: A Muv-Luv War Story,2024-04-26,15338,19.99,208558.0,21.6,55,Indie,aNCHOR Inc.,"aNCHOR Inc.,fuzz, Inc.",1557480,208558.0,100.0,136,0.93
The DeLuca Family - Season 1,2024-02-27,16425,15.99,207588.0,12.2,83,Indie,MemoGaming,MemoGaming,2814610,207588.0,100.0,195,1.31
Mini Airways,2024-07-30,24705,9.99,207390.0,6.4,0,Indie,Erabit,CCC Games,2289650,207390.0,100.0,41,1.56
JudgeSim,2024-07-16,33281,6.99,206875.0,3.0,0,Indie,DelusionArt Studio,DelusionArt Studio,2919660,206875.0,100.0,55,2.33
江湖客栈-The Jianghu,2024-08-31,51896,0.0,205131.0,260.3,61,Indie,Path,『風林火山』工作室,1881610,205131.0,100.0,9,0.0
The Bathhouse | 地獄銭湯 Restored Edition,2024-08-09,28170,7.99,202570.0,2.4,92,Indie,Chilla's Art,Chilla's Art,2989950,694646.0,29.16,31,3.33
Shipwrecked 64,2024-01-01,26225,7.99,202048.0,7.4,96,Indie,Cogware Games,"Squeaks D'Corgeh,Cogware Games",2160220,202048.0,100.0,252,1.08
Shadow of the Depth,2024-04-22,16453,14.99,201940.0,8.2,72,Indie,ChillyRoom,ChillyRoom,2100150,201940.0,100.0,140,1.83
Subterrain: Mines of Titan,2024-03-12,12552,19.99,200632.0,15.6,0,Indie,indie.io,Pixellore Inc,1573100,1950658.0,10.29,181,1.28
Chill Pulse,2024-05-02,51928,4.99,199035.0,31.1,95,Indie,Catos Game,Catos Game,2826180,199035.0,100.0,130,0.16
CONVRGENCE,2024-04-22,12366,19.99,198731.0,5.5,81,Indie,Monkey-With-a-Bomb,Monkey-With-a-Bomb,2609610,198731.0,100.0,140,3.63
A Day Out,2024-06-27,20883,9.99,198689.0,5.1,80,Indie,KevTheDev,"KevTheDev,gamesbychris",1547670,198689.0,100.0,74,1.96
Arzette: The Jewel of Faramore,2024-02-13,12464,19.99,198058.0,4.1,97,Indie,Limited Run Games,Seedy Eye Software,1924780,368324.0,53.77,209,4.88
Colony City 27λ,2024-03-26,21646,10.99,197843.0,4.2,90,Indie,Playmeow,Bunny Eats Tiger,2442410,426721.0,46.36,167,2.62
Smash Girls,2024-06-25,21519,10.99,197661.0,1.6,84,Indie,"Mango Party,Mango Party News",18bitStudio,2822030,4214598.0,4.69,76,6.87
彷徨之街 The Street of Adrift,2024-05-20,34730,11.99,195942.0,9.6,76,Indie,LoveStoryProject,Caramel-Mocha Studio,1672670,195942.0,100.0,112,1.25
Corsairs Legacy - Pirate Action RPG & Sea Battles,2024-01-30,13511,17.99,195795.0,2.6,70,Indie,Mauris Games OU,Mauris,1594880,195795.0,100.0,223,6.92
4D Golf,2024-03-22,10052,19.99,195440.0,6.5,99,Indie,CodeParade,CodeParade,2147950,195440.0,100.0,171,3.08
Diluvian Winds,2024-04-25,13936,17.99,194382.0,5.1,77,Indie,"Goblinz Publishing,IndieArk",Alambik Studio,1561040,279228.0,69.61,137,3.53
Rocksmith+,2024-06-06,35660,0.0,193594.0,3.9,11,AAA,Ubisoft,"Ubisoft San Francisco,Ubisoft Osaka,Ubisoft Bucharest,Ubisoft Pune",2834910,6454138.0,3.0,95,0.0
How to lose one's virginity,2024-04-25,19576,11.99,193532.0,5.0,86,Indie,VisualPointG,VisualPointG,2578880,193532.0,100.0,137,2.4
Cozy Caravan,2024-05-16,11142,19.99,191108.0,6.8,0,Indie,5 Lives Studios,5 Lives Studios,2788520,191108.0,100.0,116,2.94
Apprehending the Adventurer Chan! ~Live2D Tentacles Simulator~,2024-06-27,27719,7.99,189258.0,2.7,97,Indie,Alice Publication,No.7 Void Mine,3012420,369050.0,51.28,74,2.96
道衍诀,2024-05-08,19716,11.99,188260.0,8.3,66,Indie,宁德动游网络科技有限公司,宁德动游网络科技有限公司,1951220,188260.0,100.0,124,1.44
Beat Hazard 3,2024-06-22,13179,18.99,187908.0,13.2,89,Indie,Cold Beam Games,Cold Beam Games,1493520,187908.0,100.0,79,1.44
Final Factory,2024-04-09,10896,18.99,186670.0,20.9,83,Indie,Never Games Limited,Never Games Limited,1383150,186670.0,100.0,153,0.91
Figure Adventure,2024-06-24,31641,0.0,184743.0,12.2,0,Indie,Figure Fantasy,Figure Fantasy,2996570,184743.0,100.0,77,0.0
Yellow Taxi Goes Vroom,2024-04-09,13798,16.99,184444.0,6.6,99,Indie,"Xelu,Those Awesome Guys",Panik Arcade,2011780,184444.0,100.0,153,2.57
Galaxy Burger,2024-08-23,21079,11.99,183781.0,5.3,95,Indie,Galactic Workshop,Galactic Workshop,2749770,183781.0,100.0,17,2.26
BROKE PROTOCOL: Online City RPG,2024-06-26,98931,9.99,183531.0,9.7,75,Indie,Cylinder Studios,Cylinder Studios,696370,183531.0,100.0,75,1.03
WitchHand,2024-02-07,18046,11.99,182797.0,11.3,0,Indie,HopFrog,Jon Nielsen,2420880,182797.0,100.0,215,1.06
Arctic Eggs,2024-05-16,24972,9.99,182249.0,1.8,97,Indie,CRITICAL REFLEX,"The Water Museum,cockydoody,abmarnie,Cameron Ginex",2763670,3551898.0,5.13,116,5.55
No Creeps Were Harmed TD,2024-07-27,14452,19.99,181284.0,16.7,91,Indie,MinMax Games Ltd.,MinMax Games Ltd.,1932260,181284.0,100.0,44,1.2
Zoria: Age of Shattering,2024-03-07,9307,24.99,180957.0,17.8,80,Indie,"Anshar Publishing,Surefire.Games",Tiny Trinket Games,1159090,180957.0,100.0,186,1.4
FRONT MISSION 2: Remake,2024-04-30,6960,34.99,180254.0,21.1,63,Indie,Forever Entertainment S. A.,Storm Trident S.A.,2865440,180254.0,100.0,132,1.66
Having a HARD Time,2024-02-12,16580,12.99,180236.0,5.9,96,Indie,Quadruple-Q,Quadruple-Q,2420460,180236.0,100.0,210,2.2
"Island, Sex & Survival",2024-06-25,16201,12.99,179792.0,2.8,77,Indie,Alice Publication,無人島觀光促進會,2911250,369050.0,48.72,76,4.64
Sheryl ~The Alchemist of the Island Ruins~,2024-04-19,13210,17.99,179743.0,5.9,85,Indie,Kagura Games,Pakkuri Paradise,2787300,8701350.0,2.07,143,3.05
"OPPAI Succubus Academy Sucky and Busty, Demonic and Lusty!",2024-07-31,4993,39.99,179703.0,4.5,92,Indie,Frontwing USA,Milkfactory,2854170,179703.0,100.0,40,8.89
Computer Repair Shop,2024-01-12,22799,9.99,179631.0,4.5,0,Indie,Cheesecake Dev,Cheesecake Dev,2479290,179631.0,100.0,241,2.22
KeepUp Survival,2024-03-05,23894,8.99,179352.0,8.2,68,Indie,Witte Studio,Witte Studio,1524630,179352.0,100.0,188,1.1
Folie Fatale,2024-05-30,38408,5.99,178996.0,3.6,90,Indie,346lab Localization,Kanmidoko (神海処),2734450,178996.0,100.0,102,1.66
Baten Kaitos I & II HD Remaster,2024-06-17,4662,49.99,178950.0,13.2,84,AAA,Bandai Namco Entertainment,"logicalbeat Co., Ltd.",2146170,45552937.0,0.39,84,3.79
Farlands,2024-07-24,14440,14.99,177736.0,4.9,95,Indie,JanduSoft,"JanduSoft,Eric Rodríguez",2252680,275317.0,64.56,47,3.06
B.E.S.T,2024-01-18,18098,11.99,176781.0,3.8,75,Indie,Dolydev,Dolyla,2404390,176781.0,100.0,235,3.16
Kukoro: Stream chat games,2024-02-02,61373,5.99,175228.0,17.0,98,Indie,HeyNau,HeyNau,1166990,175228.0,100.0,220,0.35
Backrooms Rec.,2024-03-06,20159,9.99,175194.0,1.9,72,Indie,Liminal Logic,Liminal Logic,2275020,175194.0,100.0,187,5.26
Old Market Simulator,2024-05-21,25461,9.99,174298.0,8.7,93,Indie,"Alcedo Games,Gamersky Games",Alcedo Games,2878420,174298.0,100.0,111,1.15
Fleshlight Squad - Fleshlightize -,2024-01-12,14773,14.99,174069.0,2.1,83,Indie,072 Project,ちゃおいずむ,2588590,2224410.0,7.83,241,7.14
Fork Road,2024-06-11,48467,3.99,173665.0,0.8,0,Indie,Simon Au Yeung,Simon Au Yeung,2976400,173665.0,100.0,90,4.99
Tiny Terry's Turbo Trip,2024-05-30,12896,17.99,173502.0,3.9,97,Indie,Super Rare Originals,snekflat,2238040,252483.0,68.72,102,4.61
Phantom Fury,2024-04-23,8386,24.99,173471.0,6.8,61,Indie,3D Realms,Slipgate Ironworks™,1733240,684287.0,25.35,139,3.67
Broken Roads,2024-04-10,6136,34.99,173273.0,6.8,51,Indie,"Versus Evil,tinyBuild",Drop Bear Bytes,1403440,810171.0,21.39,152,5.15
RUNGORE,2024-05-16,16112,14.99,172919.0,9.2,88,Indie,"GrabTheGames,Gamera Games,UpgradePoint","YOUR_MOM'S_HP,RavenJm",2113040,2285670.0,7.57,116,1.63
REVEIL,2024-03-06,10936,19.99,172222.0,5.2,92,AA,Daedalic Entertainment,Pixelsplit,809060,4050926.0,4.25,187,3.84
KitHack Model Club,2024-08-01,11862,19.99,171463.0,16.0,89,Indie,"Floating Origin Interactive,Curve Games",Floating Origin Interactive,2107090,171463.0,100.0,39,1.25
A Tower Full of Cats,2024-05-20,41463,4.99,171352.0,2.7,99,Indie,Devcats,Devcats,2179170,171352.0,100.0,112,1.85
Drug Lord Tycoon,2024-07-31,16898,11.99,171160.0,7.7,88,Indie,Duhndal,Duhndal,2450700,171160.0,100.0,40,1.56
Into the Necrovale,2024-01-26,15345,14.99,170271.0,10.2,93,Indie,Tribal-Storm,Casey Clyde,1717090,170271.0,100.0,227,1.47
