game,release_date,copies_sold,price,revenue,avg_playtime,review_score,publisher_class,publisher,developers,steam_id,total_revenue,revenue_percentage,days_in_market,average_price_per_hour
Anno 1602 History Edition,2024-04-22,8401,9.99,42332.0,6.9,67,AAA,Ubisoft,Ubisoft Mainz,2820130,6454138.0,0.66,140,1.45
Irotoridori No Sekai HD - The Colorful World,2024-02-16,1533,34.99,42280.0,33.4,99,Indie,NekoNyan Ltd.,FAVORITE,2591380,42280.0,100.0,206,1.05
XiuzhenWorld / 修真世界,2024-04-30,7497,9.99,42253.0,85.5,77,Indie,Noforgetit,Noforgetit,2868430,42253.0,100.0,132,0.12
Spire Horizon,2024-02-14,5676,9.99,42180.0,8.8,80,Indie,Mendoka,Mendoka,2321880,42180.0,100.0,208,1.14
Kristala,2024-06-06,1748,29.99,42089.0,3.3,90,Indie,Astral Clocktower Studios,Astral Clocktower Studios,1206410,42089.0,100.0,95,9.09
Bureau of Contacts,2024-06-20,7620,7.99,42019.0,2.9,84,Indie,MIROWIN,MIROWIN,2840210,42019.0,100.0,81,2.76
Lilim wants to Lv up♥,2024-08-27,5130,9.99,41953.0,4.2,81,Indie,Playmeow,"Yoü studio,Maker製造機",2651570,426721.0,9.83,13,2.38
myPOPGOES,2024-08-01,11465,4.99,41949.0,4.0,84,Indie,Clickteam,Kane Carter,2429350,41949.0,100.0,39,1.25
Hypnosis Card,2024-01-19,10812,4.99,41891.0,2.0,77,Indie,Lovely Games,,2544990,134908.0,31.05,234,2.5
SOUL COVENANT,2024-04-18,1026,49.99,41764.0,3.0,75,Indie,"Thirdverse, Co., Ltd.","Thirdverse, Co., Ltd.",2237740,41764.0,100.0,144,16.66
Just Click The Button,2024-01-17,15760,2.99,41751.0,6.1,93,Indie,Simon Eftestol,Simon Eftestol,2577760,41751.0,100.0,236,0.49
Tools Up! Ultimate Edition,2024-01-05,4051,34.99,41386.0,4.2,79,Indie,Untold Tales,The Knights of Unity,2551920,82373.0,50.24,248,8.33
Journey to the West Survivor,2024-03-24,10946,5.99,41369.0,10.4,87,Indie,Leyo Games,Buding Games,2450100,173049.0,23.91,169,0.58
Idle Heros,2024-05-01,18688,0.0,41269.0,74.3,85,Indie,EGAME,EGAME,1686290,41269.0,100.0,131,0.0
Mylene and the Lust temple,2024-02-01,3866,13.99,41218.0,1.4,89,Indie,072 Project,キラ☆タマ,2562550,2224410.0,1.85,221,9.99
Back,2024-07-30,7243,6.99,41201.0,1.4,83,Indie,MYSTERY CROWN,MYSTERY CROWN,2913040,73673.0,55.92,41,4.99
The Necromancer Arises,2024-03-25,5251,9.99,41069.0,2.2,82,Indie,Whiteleaf Studio,Whiteleaf Studio,2413570,116644.0,35.21,168,4.54
Operation: Polygon Storm,2024-08-12,3786,14.99,40987.0,2.3,80,Indie,Untold Tales,Toxic Studio,2310160,82373.0,49.76,28,6.52
Old Coin Pusher Friends 3,2024-07-25,12042,3.99,40967.0,12.5,97,Indie,STP WORKS,STP WORKS,3040390,40967.0,100.0,46,0.32
E-Startup 2 : Business Tycoon,2024-05-14,4124,12.99,40926.0,4.3,80,Indie,Polytale Games,Polytale Games,2547750,40926.0,100.0,118,3.02
Riviera: The Promised Land,2024-07-16,1601,34.99,40866.0,8.1,96,Indie,Sting,Sting,2891280,40866.0,100.0,55,4.32
Life Eater,2024-04-16,3362,14.99,40857.0,1.8,85,Indie,"Strange Scaffold,Frosty Pop",Strange Scaffold,2632930,40857.0,100.0,146,8.33
This Grand Life 2,2024-06-20,2945,16.99,40793.0,13.1,92,Indie,Poking Water Games,Poking Water Games,2459490,40793.0,100.0,81,1.3
Read Only Memories: NEURODIVER,2024-05-15,3328,14.99,40762.0,3.7,70,Indie,Chorus Worldwide Games,"MidBoss, LLC.",1293910,40762.0,100.0,117,4.05
Alchemist Quest,2024-01-26,4175,12.99,40748.0,3.3,77,Indie,Kagura Games,ShiroKuroSoft,2657720,8701350.0,0.47,227,3.94
Kitten Burst,2024-01-20,2073,24.99,40690.0,7.5,100,Indie,Lithodelphis,Lithodelphis,1592360,40690.0,100.0,233,3.33
Dusk City,2024-07-25,2052,24.99,40666.0,2.8,99,Indie,Dieselmine,Suteneko Lab.,2973120,113518.0,35.82,46,8.93
Class of Heroes: Anniversary Edition,2024-04-26,2484,19.99,40490.0,17.3,77,Indie,"PQube,ACQUIRE Corp.",Zerodiv,2195780,84215.0,48.08,136,1.16
Beach Club Simulator 2024,2024-08-16,7981,8.99,40336.0,5.3,82,Indie,Catsupp Games,Catsupp Games,2856030,40336.0,100.0,24,1.7
Beyond Hanwell,2024-08-25,2484,17.99,40218.0,3.2,82,Indie,Steel Arts Software Ltd,Steel Arts Software Ltd,2565550,40218.0,100.0,15,5.62
Armored Suit Solgante,2024-06-14,4236,12.99,40188.0,4.0,82,Indie,Kagura Games,GapTax,2914470,8701350.0,0.46,87,3.25
Sun Breed,2024-04-16,4222,14.99,40182.0,4.7,92,Indie,SuperWriter Games LLC,SuperWriter Games LLC,2573950,40182.0,100.0,146,3.19
风流公子romantic young man,2024-07-25,10210,4.99,40067.0,2.7,90,Indie,Ronin SoftWork,Ronin SoftWork,2829600,40067.0,100.0,46,1.85
My step family,2024-03-15,5403,9.99,40051.0,0.9,56,Indie,Kun family,Kun family,2753820,40051.0,100.0,178,11.1
无休仙途,2024-07-25,8822,5.99,40010.0,43.5,77,Indie,GOCORE,GOCORE,2654540,40010.0,100.0,46,0.14
Lazaret,2024-02-20,4436,10.99,39971.0,3.0,88,Indie,Aegon Games,Aegon Games,2088280,39971.0,100.0,202,3.66
修仙神诀,2024-06-27,12909,0.0,39887.0,12.4,74,Indie,雷鸣工作室,雷鸣工作室,3029670,39887.0,100.0,74,0.0
Silent Rain,2024-07-15,5574,9.99,39816.0,3.7,67,Indie,Seedlers Interactive,"2Brains&Coffee,Seedlers Interactive",1791910,39816.0,100.0,56,2.7
Slavania,2024-03-13,3238,15.99,39769.0,5.3,64,Indie,"FrostLeaf Games LLC,Game Art Pioneers",FrostLeaf Games LLC,1349600,39769.0,100.0,180,3.02
Rebirth! New Lover,2024-08-06,5441,8.99,39756.0,3.4,91,Indie,次元边界,次元边界,2803810,39756.0,100.0,34,2.64
Echocalypse: The Scarlet Covenant,2024-06-07,7701,0.0,39735.0,8.6,54,Indie,Yoozoo (Singapore) Pte. Ltd,Yoozoo (Singapore) Pte. Ltd,2917030,39735.0,100.0,94,0.0
Candy & Toys Store Simulator,2024-06-26,3531,12.99,39589.0,8.5,91,Indie,Ox Games,Ox Developer,3013700,39589.0,100.0,75,1.53
Cats Hidden Around the World,2024-06-09,10740,4.99,39527.0,2.3,97,Indie,Travellin Cats,Travellin Cats,2377970,39527.0,100.0,92,2.17
TASOKARE HOTEL Re:newal,2024-01-22,1283,39.99,39446.0,6.3,92,Indie,SEEC Inc.,SEEC Inc.,2622260,39446.0,100.0,231,6.35
MACROSS -Shooting Insight-,2024-03-27,1100,39.99,39428.0,2.5,48,Indie,Bushiroad Inc.,KAMINARI GAMES Inc.,2103230,415727.0,9.48,166,16.0
Britannia,2024-04-04,3036,24.99,39342.0,24.3,74,Indie,"PID Games,Avalon Digital",Avalon Digital,1268420,39342.0,100.0,158,1.03
Lysfanga: The Time Shift Warrior,2024-02-13,2741,19.99,39323.0,8.2,78,Indie,Spotlight by Quantic Dream,Sand Door Studio,2161620,117488.0,33.47,209,2.44
Snapshot VR,2024-04-05,2907,19.99,39215.0,25.5,87,Indie,Giant Scam Industries,Giant Scam Industries,1133580,39215.0,100.0,157,0.78
Shanghai Summer,2024-02-07,3771,12.99,39145.0,2.7,0,Indie,Astrolabe Games,FUTU Studio,1323830,209173.0,18.71,215,4.81
Boyhood's End,2024-09-05,4394,10.99,39110.0,1.8,86,Indie,"WSS playground,Alliance Arts","WSS playground,buriki clock",2403290,39110.0,100.0,4,6.11
Sex Detective [18+],2024-01-20,6159,9.99,39057.0,2.6,74,Indie,BanzaiProject,BanzaiProject,2732510,193027.0,20.23,233,3.84
飛天歷險2024(Dream Of Mirror Online),2024-06-18,5027,0.0,38814.0,53.8,86,Indie,Hong Kong GameStar Limited,SOFTSTAR ENTERTAINMENT,2899890,38814.0,100.0,83,0.0
Chromosome Evil 2,2024-02-15,2504,19.99,38734.0,15.4,91,Indie,S.C. 16 BIT NIGHTS S.R.L.,"S.C. 16 BIT NIGHTS S.R.L.,dovganovskiy",2529770,38734.0,100.0,207,1.3
A fascinating story,2024-06-14,5323,9.99,38560.0,2.8,75,Indie,Lovely Games,L&P,2756390,134908.0,28.58,87,3.57
STRIDE: Fates,2024-05-16,1456,29.99,38478.0,2.2,44,Indie,Joy Way,Joy Way,2597880,38478.0,100.0,116,13.63
Brainwashing with Tentacles R,2024-05-25,4016,11.99,38429.0,1.6,73,Indie,Dieselmine,kagurado,2862430,113518.0,33.85,107,7.49
False Dream,2024-01-16,22446,1.99,38327.0,2.9,97,Indie,TenkaiGames,TenkaiGames,2753720,38327.0,100.0,237,0.69
Chocolate Factory,2024-06-18,2560,19.99,38045.0,5.2,58,Indie,Tbjbu2,Tbjbu2,2854710,38045.0,100.0,83,3.84
Touhou ~Red Empress Devil.,2024-03-07,5933,7.99,37988.0,1.2,79,Indie,STUDIO POCO,STUDIO POCO,1734070,37988.0,100.0,186,6.66
Orgasm Academy 💦,2024-04-13,5975,9.99,37850.0,2.7,83,Indie,Lust Desires 🖤,Lust Desires 🖤,2820600,411035.0,9.21,149,3.7
Timemelters,2024-02-28,2700,19.99,37803.0,5.2,94,Indie,Autoexec Games,Autoexec Games,1096140,37803.0,100.0,194,3.84
Escape Memoirs: Safe House,2024-07-19,4474,9.99,37696.0,4.0,97,Indie,0 Deer Soft Partnership,0 Deer Soft,2722360,37696.0,100.0,52,2.5
Inn Tycoon,2024-08-26,5278,9.9,37621.0,4.3,87,Indie,"Evil Goose Games,Gamersky Games",Evil Goose Games,2749000,37621.0,100.0,14,2.3
Legend of the Master Baiter,2024-06-21,5111,9.99,37590.0,4.8,78,Indie,Kagura Games,BigWednesday,2864830,8701350.0,0.43,80,2.08
Silent Depth 2: Pacific,2024-07-16,3423,12.99,37567.0,3.5,58,Indie,MicroProse Software,MicroProse Software,2591010,1122389.0,3.35,55,3.71
Pampas & Selene: The Maze of Demons,2024-05-21,5126,9.99,37487.0,7.3,93,Indie,Unepic Games,@unepic_fran,1966220,37487.0,100.0,111,1.37
Union of Gnomes,2024-07-18,3038,14.99,37472.0,4.9,93,Indie,HeroCraft PC,Hoolignomes,2097030,334123.0,11.22,53,3.06
DATE A LIVE: Ren Dystopia,2024-09-05,1223,39.99,37412.0,3.6,96,Indie,Idea Factory International,"Idea Factory,Compile Heart,Sting",2627780,37412.0,100.0,4,11.11
风岬-The Everlasting lovestory at the Windcap,2024-02-13,7858,5.99,37405.0,3.8,0,Indie,百歌CentChansons,百歌CentChansons,2414750,37405.0,100.0,209,1.58
My Little Pony: A Zephyr Heights Mystery,2024-05-17,1064,39.99,37380.0,5.8,88,Indie,Outright Games Ltd.,Drakhar Studios,2235440,37380.0,100.0,115,6.89
World Turtles,2024-04-15,2761,19.99,37235.0,2.9,78,Indie,indie.io,Re: cOg Mission,1512050,1950658.0,1.91,147,6.89
Darkness Revenge,2024-02-08,4505,9.99,37160.0,3.0,81,Indie,Hematite,Hematite,2112680,58845.0,63.15,214,3.33
Linkito,2024-07-23,2923,14.99,37043.0,4.5,88,Indie,"Playdigious Originals,Kimeria Games",Kalinarm,2312770,37043.0,100.0,48,3.33
Aground Zero,2024-01-18,2046,19.99,36809.0,13.9,92,Indie,Fancy Fish Games,Fancy Fish Games,1795570,36809.0,100.0,235,1.44
Towerful Defense: A Rogue TD,2024-07-29,4968,9.99,36774.0,4.4,78,Indie,Mini Fun Games,Mini Fun Games,2453610,36774.0,100.0,42,2.27
SEX Airlines 🔞✈️,2024-07-13,5700,9.99,36654.0,1.3,72,Indie,Play & Cum 💦,Play & Cum 💦,3014600,67605.0,54.22,58,7.68
Virtua Unlimited Project,2024-04-24,4091,10.99,36626.0,7.5,0,Indie,Neverland Entertainment,Virtua Ride System,1934030,1926639.0,1.9,138,1.47
重生了还要我谈恋爱？,2024-07-25,6109,7.99,36601.0,3.2,95,Indie,画域互动,画域互动,2804510,36601.0,100.0,46,2.5
14 Minesweeper Variants 2,2024-06-14,6567,6.99,36460.0,30.8,98,Indie,Artless Games,"Alith Games,Artless Games",2631960,36460.0,100.0,87,0.23
Die by the Blade,2024-05-16,2085,19.99,36435.0,4.8,61,Indie,Grindstone,"Grindstone,Triple Hill Interactive,Toko Midori Games",1154670,100755.0,36.16,116,4.16
Real Dive World,2024-05-10,2501,19.99,36294.0,2.7,82,Indie,OTAKU Plan,TANUKIHOUSE,2337090,786417.0,4.62,122,7.4
Climber Animals: Together,2024-03-22,12770,3.99,36224.0,2.7,93,Indie,Weakfish Studio Publishing,Payoff Games,2744880,36224.0,100.0,171,1.48
Sid Meier's Alpha Centauri™ Planetary Pack,2024-03-07,18231,4.99,36165.0,15.2,95,AAA,Electronic Arts,Firaxis Games,2204130,21635263.0,0.17,186,0.33
Archean,2024-05-16,2138,19.99,36163.0,35.6,92,Indie,"batcholi,FloDKSM","batcholi,FloDKSM",2941660,36163.0,100.0,116,0.56
洪荒：我挂机成圣,2024-01-14,6629,6.99,36125.0,271.6,50,Indie,老乌贼工作室,老乌贼工作室,2123310,36125.0,100.0,239,0.03
Knights Within,2024-05-15,2479,17.99,36030.0,7.1,97,Indie,Indecision Labs,Indecision Labs,2406180,36030.0,100.0,117,2.53
Master of Chess,2024-06-12,3176,14.99,36029.0,9.3,86,Indie,BRANE,BRANE,2248900,36029.0,100.0,89,1.61
Umbraclaw,2024-05-30,1971,24.99,36009.0,4.5,93,Indie,"INTI CREATES CO., LTD.","INTI CREATES CO., LTD.",2428420,66567.0,54.09,102,5.55
C.A.R.D.S. RPG: The Misty Battlefield,2024-05-22,1133,39.99,35903.0,10.3,46,Indie,ACQUIRE Corp.,ACQUIRE Corp.,2539880,35903.0,100.0,110,3.88
Rogue Fable IV,2024-01-26,3991,11.99,35878.0,26.7,92,Indie,Pixel Forge Games,Pixel Forge Games,2720010,35878.0,100.0,227,0.45
3 Minutes to Midnight - A Comedy Graphic Adventure,2024-08-22,1742,24.99,35867.0,7.5,92,Indie,Scarecrow Studio,Scarecrow Studio,832500,35867.0,100.0,18,3.33
Innocence Or Money | Season 2 | Episode 1,2024-08-10,9947,3.99,35719.0,1.9,75,Indie,MarcialART,MarcialART,3064420,35719.0,100.0,30,2.1
QANGA,2024-09-02,2197,19.99,35571.0,3.3,85,Indie,iolaCorp Studio,iolaCorp Studio,1648190,35571.0,100.0,7,6.06
The Cooking Game VR,2024-08-09,3127,19.99,35330.0,1.7,72,Indie,Play Spirit Limited,Play Spirit Limited,857180,35330.0,100.0,31,11.76
Top Racer Collection,2024-03-06,2184,19.99,35298.0,4.2,83,Indie,"QUByte Interactive,Piko Interactive,bleem.net",QUByte Interactive,2214000,35298.0,100.0,187,4.76
CORPUS EDAX,2024-09-05,2228,19.99,35271.0,2.1,79,Indie,Luis G. Bento,Luis G. Bento,2017610,35271.0,100.0,4,9.52
Ballance,2024-01-05,9412,5.99,35198.0,1.6,78,Indie,Ziggurat,Cyparade,2000770,132426.0,26.58,248,3.74
Galactic Glitch,2024-07-15,3974,12.99,35181.0,4.5,94,Indie,Crunchy Leaf Games,Crunchy Leaf Games,1536620,35181.0,100.0,56,2.89
The Assistant Season 2,2024-08-29,4501,9.99,35119.0,2.9,87,Indie,Backhole,Backhole,2994260,35119.0,100.0,11,3.44
GOBLIN SLAYER -ANOTHER ADVENTURER- NIGHTMARE FEAST,2024-02-28,700,54.99,34638.0,8.3,48,Indie,Bushiroad Inc.,"APOLLOSOFT Inc.,mebius.",2456410,415727.0,8.33,194,6.63
Unspoken,2024-04-01,13185,2.99,34570.0,1.2,91,Indie,Weeping Studio,Weeping studio,2846290,34570.0,100.0,161,2.49
Trap Yuri Garden,2024-06-10,3168,14.99,34538.0,4.2,93,Indie,"Eroge Japan,Sanuk Inc.",No Strike,2183910,34538.0,100.0,91,3.57
Llamasoft: The Jeff Minter Story,2024-03-13,1437,29.99,34480.0,2.6,93,Indie,Digital Eclipse,Digital Eclipse,2236680,910466.0,3.79,180,11.53
Busty Milf and Summer Country Sex Life,2024-04-25,1920,22.99,34423.0,2.5,94,Indie,Dieselmine,MikanBatake,2795310,113518.0,30.32,137,9.2
Retrowave World,2024-05-10,4976,9.99,34177.0,6.4,83,Indie,RewindApp,RewindApp,2413050,34177.0,100.0,122,1.56
War Tortoise,2024-03-27,3157,12.99,34147.0,35.6,82,Indie,Foursaken Media,Foursaken Media,2120250,34147.0,100.0,166,0.36
The Night is Grey,2024-01-05,2599,15.99,34137.0,6.3,83,Indie,Whalestork Interactive,Whalestork Interactive,1281490,34137.0,100.0,248,2.54
エスカレーター |  Escalator,2024-01-06,13759,2.99,34019.0,1.0,38,Indie,Toyasky,Toyasky,2738050,34019.0,100.0,247,2.99
Thalassa: Edge of the Abyss,2024-08-01,1885,19.99,33913.0,5.2,92,Indie,Team17 Digital Ltd,Sarepta Studio,1783680,582469.0,5.82,39,3.84
Forest Ranger Simulator,2024-06-19,2968,14.99,33771.0,6.8,48,Indie,FreeMind S.A.,"HOT CODE COMPANY,FreeMind S.A.,VIRTUAL MAGIC",1185780,33771.0,100.0,82,2.2
Fallen Leaf,2024-07-15,2354,16.99,33220.0,6.5,90,Indie,Delta Shore Games,Delta Shore Games,1459010,33220.0,100.0,56,2.61
Été,2024-07-23,1903,24.99,33085.0,6.7,99,Indie,Impossible,Impossible,1065070,33085.0,100.0,48,3.73
Monster Girl Conquest Records Battle Orc,2024-05-09,3604,10.99,33040.0,2.7,93,Indie,Shady Corner Games,mozu field,2680840,254545.0,12.98,123,4.07
Teenage Mutant Ninja Turtles Arcade: Wrath of the Mutants,2024-04-23,1443,29.99,32967.0,2.6,62,Indie,GameMill Entertainment,Cradle Games,2527580,32967.0,100.0,139,11.53
Dungeon Exiles,2024-08-07,3916,9.99,32913.0,8.3,77,Indie,Gronkins,Gronkins,2850100,32913.0,100.0,33,1.2
An English Haunting,2024-05-22,2877,13.99,32895.0,5.0,96,Indie,"Postmodern Adventures,enComplot",Postmodern Adventures,2474030,32895.0,100.0,110,2.8
Trackline Express,2024-04-18,2838,14.99,32789.0,5.5,85,Indie,Bubblebird Studio,Bubblebird Studio,2343920,32789.0,100.0,144,2.73
Rum & Gun,2024-08-26,8875,4.99,32753.0,12.1,94,Indie,Borington,Borington,1210800,32753.0,100.0,14,0.41
Plushie from the Sky,2024-05-06,3684,11.99,32723.0,2.4,96,Indie,fishwind,fishwind,1679510,32723.0,100.0,126,5.0
飄流幻境M,2024-06-25,13101,0.0,32631.0,42.3,74,Indie,Chinesegamer,Chinesegamer,1481340,2595134.7123580766,1.26,76,0.0
Horny Suika: Wet Watermelon,2024-08-02,7860,4.99,32631.0,3.6,91,Indie,Tora Creatives,Tora Creatives,2739980,32631.0,100.0,38,1.39
Nine Tereasures of Liuyin,2024-08-01,2160,18.99,32506.0,3.0,0,Indie,kingnagame,kingnagame,2949580,32506.0,100.0,39,6.33
Sore wa Maichiru Sakura no You ni -Re:BIRTH-,2024-06-07,1132,39.99,32480.0,10.1,89,Indie,HIKARI FIELD,Navel,2754170,179916.0,18.05,94,3.96
TryAndLove,2024-01-25,5564,6.99,32472.0,3.3,51,Indie,MYSTERY CROWN,MYSTERY CROWN,2715590,73673.0,44.08,228,2.12
Wulin Chess,2024-02-01,5968,11.99,32365.0,30.1,76,Indie,East2west Games,LameCat Studio,1525410,32365.0,100.0,221,0.4
My love with the GirlsGroup,2024-04-17,2255,25.5,32198.0,2.7,72,Indie,Bing World,Bing World,2852710,32198.0,100.0,145,9.44
Benefitship,2024-07-12,12641,2.99,32166.0,1.8,96,Indie,RFH Games,RFH Games,2404000,32166.0,100.0,59,1.66
Lust & Legends,2024-05-09,3127,12.99,32128.0,2.3,79,Indie,Entropy Digital Entertainment,Entropy Digital Entertainment,2899030,136042.0,23.62,123,5.65
Demon Slayer -Kimetsu no Yaiba- Sweep the Board!,2024-07-16,593,59.99,32016.0,3.5,97,AA,SEGA,CyberConnect2,2424110,63528353.0,0.05,55,17.14
Abathor,2024-07-25,2593,14.99,31842.0,5.0,91,Indie,JanduSoft,Pow Pixel Games,2295610,275317.0,11.57,46,3.0
Yet Another Fantasy Title (YAFT),2024-04-10,2557,19.99,31754.0,2.9,61,Indie,"Atomic Wolf,Games Operators",Atomic Wolf,1993450,31754.0,100.0,152,6.89
GHOSTWARE: Arena of the Dead,2024-06-10,2758,14.99,31678.0,2.7,85,Indie,Mothership Loudspeakerz,Daev Team,1893370,31678.0,100.0,91,5.55
西游-琉璃盏,2024-07-11,2563,14.99,31644.0,8.2,85,Indie,Dark Dimension,Dark Dimension,1309510,31644.0,100.0,60,1.83
Parfait Remake,2024-07-19,1254,34.99,31543.0,6.3,90,Indie,HIKARI PULSE,"GIGA,Entergram",2947220,143201.0,22.03,52,5.55
Only Up: SKIBIDI TOGETHER,2024-07-12,8729,4.99,31466.0,2.4,81,Indie,"Rosa Special Studio,Grand Technology Associates","Grand Technology Associates,Rosa Special Studio",2928650,31466.0,100.0,59,2.08
希望之城 The City Of Hope,2024-03-04,5701,6.99,31464.0,14.0,71,Indie,家里蹲工作室,家里蹲工作室,2424740,31464.0,100.0,189,0.5
DEFENDUN : Hero Defense,2024-02-14,7029,8.99,31353.0,7.9,77,Indie,Gonggamorecontents Inc.,Gonggamorecontents Inc.,2323810,31353.0,100.0,208,1.14
Futanari di Funghi,2024-06-03,5273,6.99,31301.0,5.1,81,Indie,Shady Corner Games,Ahegames,2496640,254545.0,12.3,98,1.37
Brothel Secrets 🔞,2024-01-27,5429,9.99,31198.0,1.6,77,Indie,Octo Games,Octo Games,2721240,155022.0,20.12,226,6.24
Roommates,2024-02-07,4147,9.99,31098.0,3.8,93,Indie,Octaday,Octaday,2775110,31098.0,100.0,215,2.63
SANYA,2024-03-01,2638,14.99,31003.0,1.5,75,Indie,helpnode,helpnode,1667360,31003.0,100.0,192,9.99
"Sex, Camera, Action! 🔞",2024-07-27,5419,9.99,30951.0,1.8,78,Indie,Play & Cum 💦,Play & Cum 💦,2955820,67605.0,45.78,44,5.55
Decimate Drive,2024-02-25,4570,7.99,30948.0,1.3,93,Indie,Some Random Designing,Some Random Designing,2427950,30948.0,100.0,197,6.15
Unbeatable professional me with 100 girlfriends,2024-05-17,3760,9.99,30925.0,2.5,66,Indie,Day Day Up！,philosophy♂,2701420,101140.0,30.58,115,4.0
Tomboy: Love in Hot Forge,2024-02-29,10169,3.99,30878.0,1.3,88,Indie,NSFW18 Games,Zylyx,2732730,30878.0,100.0,193,3.07
Monster Tiles TD: Tower Wars,2024-02-11,25912,0.0,30820.0,23.3,80,Indie,Swell Games LLC,Swell Games LLC,2447060,266683.0,11.56,211,0.0
Sex City: 2069,2024-07-20,3751,14.99,30759.0,1.5,65,Indie,Octo Games,Octo Games,2487130,155022.0,19.84,51,9.99
Harvest Days: My Dream Farm,2024-07-25,3482,14.99,30652.0,18.1,71,Indie,"Family Devs,Toplitz Productions",Family Devs,1515320,30652.0,100.0,46,0.83
GUNVOLT RECORDS Cychronicle,2024-02-15,2470,14.99,30558.0,3.2,71,Indie,"INTI CREATES CO., LTD.","INTI CREATES CO., LTD.",2585040,66567.0,45.91,207,4.68
BeachHead,2024-01-22,3520,14.99,30498.0,18.2,63,Indie,Digital Fusion Inc.,Digital Fusion Inc.,1288790,30498.0,100.0,231,0.82
Witch's Doll,2024-05-24,4909,6.99,30419.0,1.8,88,Indie,Elite Lords Studios,Elite Lords Studios,2892000,30419.0,100.0,108,3.88
Anno 1701 History Edition,2024-04-22,6151,9.99,30243.0,10.5,76,AAA,Ubisoft,Ubisoft Mainz,2820140,6454138.0,0.47,140,0.95
IIslands of War,2024-03-10,3885,4.99,30192.0,11.1,87,Indie,jwiggs,jwiggs,1162470,30192.0,100.0,183,0.45
GIRLDIVERS,2024-08-30,2795,14.99,30160.0,1.5,93,Indie,Sweet Cakes Games,Sweet Cakes Games,2892310,30160.0,100.0,10,9.99
Forsaken Quartet,2024-05-17,3187,12.99,30108.0,4.0,79,Indie,Kagura Games,AVANTGARDE,2377410,8701350.0,0.35,115,3.25
Unlucky Seven,2024-02-06,5591,7.99,30099.0,2.2,47,Indie,"SIG Publishing,Art Games Studio S.A.",Puzzling Dream,579120,30099.0,100.0,216,3.63
Scourge Of War - Remastered,2024-09-06,1747,18.99,29857.0,10.6,92,Indie,Norb Software Development LLC,Norb Software Development LLC,2205330,29857.0,100.0,3,1.79
Primateria,2024-01-08,3145,11.99,29843.0,6.6,85,Indie,Surefire.Games,Yfrit Games,1397130,83449.0,35.76,245,1.82
Mutant Football League 2,2024-05-31,1325,24.99,29800.0,3.8,84,Indie,Digital Dreams Entertainment,Digital Dreams Entertainment,1657320,29800.0,100.0,101,6.58
"SEX, Stocks & Cocks",2024-06-08,5320,9.99,29726.0,2.0,89,Indie,Lust Desires 🖤,Lust Desires 🖤,2983270,411035.0,7.23,93,5.0
Astrodle,2024-06-19,5885,5.99,29692.0,8.6,91,Indie,Robin Nicolet,Robin Nicolet,2853130,29692.0,100.0,82,0.7
Farmer's Father: Save the Innocence,2024-03-25,4012,9.99,29651.0,5.1,51,Indie,"FreeMind S.A.,PlayWay S.A.",FreeMind S.A.,1905980,291408.0,10.18,168,1.96
Anno 1503 History Edition,2024-04-22,6151,9.99,29631.0,6.1,66,AAA,Ubisoft,Ubisoft Mainz,2820110,6454138.0,0.46,140,1.64
PAC-MAN Mega Tunnel Battle: Chomp Champs,2024-05-08,1717,19.99,29626.0,3.1,65,Indie,Bandai Namco Entertainment America Inc.,Amber Studio,2095950,29626.0,100.0,124,6.45
The Pony Factory,2024-01-18,10069,3.99,29544.0,0.6,0,Indie,David Szymanski,"David Szymanski,John Szymanski",2536530,29544.0,100.0,235,6.65
Microcosmum 2,2024-03-02,2547,14.99,29539.0,8.5,62,Indie,Satur Entertainment,Satur Entertainment,1486140,29539.0,100.0,191,1.76
Death Trick: Double Blind,2024-03-11,2348,15.99,29423.0,4.3,87,Indie,Neon Doctrine,Misty Mountain Studio,2254710,106916.0,27.52,182,3.72
Clash II,2024-02-15,2296,24.99,29349.0,5.4,69,Indie,Prime Bit Games SA,Prime Bit Games SA,1347760,29349.0,100.0,207,4.63
Mobiles Tycoon,2024-07-15,5863,5.99,29315.0,6.3,85,Indie,Insignis Games,Insignis Games,3022320,78966.0,37.12,56,0.95
[ECHOSTASIS],2024-05-30,1764,19.99,29284.0,7.1,92,Indie,ENIGMA STUDIO,ENIGMA STUDIO,1558000,29284.0,100.0,102,2.82
8th Heaven,2024-07-29,2562,14.99,29280.0,1.7,84,Indie,TinyHat Studios,Cottage Club,2321860,29280.0,100.0,42,8.82
战国女神,2024-01-19,4891,0.0,29152.0,39.2,73,Indie,战国女神,战国女神,2706730,29152.0,100.0,234,0.0
Goons: Legends & Mayhem,2024-04-11,1982,19.99,29102.0,3.1,89,Indie,Firestoke,RageCure Games,1484180,85036.0,34.22,151,6.45
Homeless,2024-08-03,4825,6.99,29094.0,1.0,77,Indie,"DarkPhobia Games,Teaserplay",DarkPhobia Games,3018910,29094.0,100.0,37,6.99
No Return,2024-08-02,2075,16.99,29045.0,1.7,43,Indie,Boltray Games,BlameTech,1967220,29045.0,100.0,38,9.99
Lust Mansion 🔞,2024-06-01,5215,9.99,29037.0,1.9,87,Indie,Lust Desires 🖤,Lust Desires 🖤,2936260,411035.0,7.06,100,5.26
Survival Nation: Lost Horizon,2024-04-15,2465,14.99,28857.0,4.1,63,Indie,indie.io,Wenkly Studio Sp. z o.o.,2504380,1950658.0,1.48,147,3.66
